round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,258.627,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,259.161,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,258.739,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,258,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,257.733,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,257.56,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,255.251,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,255.428,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,255.38,2040.0
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,298.5422740524781,2020.2173913043478
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,299.76580796252927,2020.2173913043478
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,300.0292997363024,2020.2173913043478
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,298.3682983682984,2020.2173913043478
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,298.5422740524781,2020.2173913043478
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,298.67288901852123,2020.2173913043478
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,295.143392419657,2020.2173913043478
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,295.4414310444316,2020.2173913043478
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,293.8728655474243,2020.2173913043478
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,276.522,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,276.31,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,275.707,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,273.479,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,273.509,2040.0
