round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7201.89,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9289.84,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9334.75,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,275.269,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,275.108,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,276.097,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,277.1,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,278.06,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,277.89,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,272.712,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,272.848,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,272.917,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,274.31,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,278.442,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,279.244,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,276.604,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,276.735,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,276.561,2040.0
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,248.36284259034682,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,248.96669097982004,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,248.90617403986388,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,260.1626016260163,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,258.06451612903226,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,261.2244897959184,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,237.31170336037079,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,237.25671918443004,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,237.6421443490369,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,242.4242424242424,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,251.96850393700788,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,262.2950819672131,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,254.9800796812749,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,255.61657513729403,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,255.36159600997507,2018.0898876404494
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3657.142857142857,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,248.8456865127582,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,249.33041149257363,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,249.08781318414012,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,258.5858585858586,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,257.54527162977865,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,260.1626016260163,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,236.98218005091417,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,237.3942274255245,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,237.55944785987703,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,250.0,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,262.2950819672131,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,260.1626016260163,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,254.85316077650575,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,253.8423401090729,1975.4494382022472
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,254.0942928039702,1975.4494382022472
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7048.15,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9258.25,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9262.61,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,275.407,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,274.969,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,275.803,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,277.005,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,277.856,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,277.87,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,273.069,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,273.003,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,273.335,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,271.868,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,278.613,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,277.519,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,276.311,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,276.911,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,276.334,2040.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,6430.97,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,8604.75,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,8644.68,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,274.307,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,275.12,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,275.126,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,277.554,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,277.778,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,279.446,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,269.443,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,273.725,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,274.28,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,258.575,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,281.564,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,279.697,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,276.028,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,275.937,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,276.393,2012.8
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,3047.6190476190473,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,250.18323967749816,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,250.06105006105008,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,250.0,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,260.6924643584521,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,259.6348884381339,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,261.2244897959184,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,238.33352728965437,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,238.75029144322687,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,238.66682204871228,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,251.96850393700788,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,266.6666666666667,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,262.2950819672131,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,255.4890219560878,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,256.38457686529796,2018.0898876404494
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,256.0,2018.0898876404494
