round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7283.36,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9319.87,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9360.28,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,276.543,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,276.502,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,276.561,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,277.015,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,278.796,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,278.176,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,274.047,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,274.088,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,274.384,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,273.588,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,281.148,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,278.542,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,277.467,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,277.292,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,277.343,2040.0
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2909.0909090909095,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3657.142857142857,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,249.0272373540856,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,249.87798926305516,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,250.06105006105008,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,259.6348884381339,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,258.5858585858586,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,258.5858585858586,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,237.75249593684697,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,237.86295005807202,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,238.41676367869616,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,246.15384615384613,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,264.4628099173554,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,260.1626016260163,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,253.46534653465346,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,256.2562562562563,2018.0898876404494
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,255.4890219560878,2018.0898876404494
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,1980.0
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,1980.0
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3657.142857142857,1980.0
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,249.08781318414012,1980.0
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,249.4518879415347,1980.0
