round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7186.53,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9019.1,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9195.73,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,275.1,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,275.645,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,275.703,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,276.594,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,276.829,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,278.34,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,272.812,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,273.18,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,272.804,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,273.034,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,281.36,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,281.064,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,276.263,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,275.955,2040.4
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,276.016,2040.4
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3657.142857142857,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,246.92548830479865,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,247.04463208685166,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,246.92548830479865,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,257.0281124497992,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,257.0281124497992,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,257.0281124497992,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,235.59185551593237,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,236.2168396770473,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,235.8903478461184,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,256.0,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,260.1626016260163,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,253.96825396825398,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,253.08947108255066,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,251.59705159705157,2023.1460674157304
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,252.83950617283952,2023.1460674157304
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3878.7878787878785,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,246.68754516983861,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,247.2235634958957,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,247.34299516908214,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,255.4890219560878,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,258.06451612903226,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,256.5130260521042,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,235.4564267647735,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,236.2168396770473,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,236.2168396770473,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,260.1626016260163,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,260.1626016260163,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,258.06451612903226,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,252.21674876847294,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,253.8423401090729,1980.3370786516855
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,253.21463897131557,1980.3370786516855
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7304.56,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9324.89,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9412.53,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,275.601,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,275.127,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,275.127,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,277.936,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,277.666,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,278.008,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,272.478,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,272.506,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,273.067,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,270.583,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,279.334,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,277.816,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,276.424,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,276.337,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,276.384,2040.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,6931.85,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,8745.26,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,8752.68,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,275.587,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,275.464,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,275.617,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,277.542,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,277.859,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,277.586,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,272.413,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,272.8,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,272.61,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,258.353,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,268.948,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,276.739,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,276.266,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,275.742,2009.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,275.615,2009.0
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,3047.6190476190473,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3878.7878787878785,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,247.1638909003138,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,247.34299516908214,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,247.40275428847545,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,254.9800796812749,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,257.0281124497992,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,255.4890219560878,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,235.4835000574911,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,235.75457580292394,2022.6404494382023
