round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,5745.42,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,7433.69,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,7471.35,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,259.667,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,258.975,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,259.437,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg128,0,254.64,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg128,1,254.503,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg128,2,254.285,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,258.483,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,258.249,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,258.529,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg32,0,238.399,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg32,1,234.452,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg32,2,237.691,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg512,0,259.82,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg512,1,259.114,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg512,2,259.238,2040.0
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,4266.666666666667,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,4923.076923076923,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,4923.076923076923,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,278.03421124083627,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,278.2608695652174,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,278.03421124083627,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg128,0,282.56070640176597,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg128,1,280.08752735229757,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg128,2,283.1858407079646,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,273.87001872158334,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,273.6870239208874,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,273.7601924876353,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg32,0,271.1864406779661,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg32,1,278.2608695652174,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg32,2,283.1858407079646,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg512,0,280.7017543859649,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg512,1,281.0098792535675,2016.111111111111
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg512,2,280.39430449069005,2016.111111111111
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,4413.793103448275,1980.9259259259259
