round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7265.67,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9384.1,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9441.76,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,277.439,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,277.274,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,277.397,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,277.885,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,279.11,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,279.24,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,275.047,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,275.119,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,273.385,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,270.36,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,280.903,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,281.435,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,278.371,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,278.581,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,278.399,2040.0
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,3047.6190476190473,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3878.7878787878785,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,249.87798926305516,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,249.93897974127407,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,250.24437927663737,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,256.5130260521042,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,257.54527162977865,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,254.47316103379723,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,238.16722874752878,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,238.36126629422716,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,238.41676367869616,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,256.0,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,260.1626016260163,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,260.1626016260163,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,253.3399307273627,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,255.74425574425578,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,255.74425574425578,2022.6404494382023
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2909.0909090909095,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,249.51267056530213,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,250.79598334557923,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,250.79598334557923,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,260.1626016260163,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,259.1093117408907,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,260.6924643584521,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,238.75029144322687,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,238.97316219369895,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,238.5000582275533,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,242.4242424242424,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,251.96850393700788,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,260.1626016260163,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,256.0,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,256.38457686529796,1976.2921348314608
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,256.12806403201597,1976.2921348314608
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7153.6,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9079.43,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9042.55,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,277.218,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,277.456,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,277.418,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,278.191,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,278.296,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,278.62,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,273.933,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,274.65,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,274.511,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,275.192,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,281.656,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,281.602,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,277.669,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,277.842,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,278.256,2040.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,6767.47,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,8563.48,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,8485.08,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,277.47,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,277.479,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,277.553,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,277.399,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,279.554,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,279.465,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,274.331,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,274.408,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,273.889,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,260.527,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,278.61,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,280.21,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,277.952,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,278.21,2012.8
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,277.904,2012.8
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3878.7878787878785,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,4000.0,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,250.48923679060664,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,250.85742283194514,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,250.85742283194514,2022.6404494382023
3,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,259.6348884381339,2022.6404494382023
