round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,5626.23,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,7432.01,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,7262.29,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,261.436,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,261.392,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,261.07,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg128,0,257.007,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg128,1,256.492,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg128,2,256.5,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,260.268,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,260.069,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,260.288,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg32,0,240.893,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg32,1,238.396,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg32,2,234.654,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg512,0,260.853,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg512,1,260.843,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg512,2,260.941,2040.0
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,4413.793103448275,2011.2962962962963
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,4740.740740740741,2011.2962962962963
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,4923.076923076923,2011.2962962962963
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,279.24734115080446,2011.2962962962963
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,280.85573230938013,2011.2962962962963
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,280.54794520547944,2011.2962962962963
