round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,5377.63,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,7283.24,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,7332.51,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,261.48,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,260.786,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,260.913,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg128,0,257.739,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg128,1,256.695,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg128,2,255.485,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,259.448,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,259.602,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,259.77,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg32,0,239.452,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg32,1,239.041,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg32,2,239.177,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg512,0,261.411,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg512,1,260.735,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg512,2,261.021,2040.0
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,4571.428571428572,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,4571.428571428572,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,4740.740740740741,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,274.0899357601713,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,273.94328517924026,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,274.0899357601713,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg128,0,278.2608695652174,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg128,1,274.6781115879828,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg128,2,276.45788336933043,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,267.1536655361336,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,266.38917793964623,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,267.18851924331375,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg32,0,260.1626016260163,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg32,1,273.5042735042735,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg32,2,280.7017543859649,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg512,0,276.3086886130599,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg512,1,277.5067750677507,2011.987951807229
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg512,2,276.010781671159,2011.987951807229
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,4571.428571428572,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,4923.076923076923,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,4740.740740740741,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,272.4853645556147,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,272.92110874200426,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,272.9938683017862,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg128,0,277.05627705627705,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg128,1,275.26881720430106,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg128,2,277.65726681127984,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,266.38917793964623,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,266.3198959687906,1982.3493975903614
2,0,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,265.93948837813275,1982.3493975903614
