round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,5725.89,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,7235.69,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,7453.95,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,259.738,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,250.861,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,228.863,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,227.246,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,213.924,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,206.232,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,219.866,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,219.533,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,214.903,2040.0
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,5333.333333333333,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,5818.181818181819,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,5818.181818181819,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,285.7940273513815,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,284.2076047737996,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,291.73789173789174,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,254.37833809464664,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,280.12583777868963,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,272.52162341982705,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,242.39554976920346,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,288.1868711742771,2028.1208053691275
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,281.6862664190908,2028.1208053691275
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,4320.6,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,6425.15,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,6323.55,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,258.566,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,254.594,2040.0
