round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7260.27,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9304.49,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9317.43,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,272.902,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,273.315,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,273.715,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,273.499,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,274.13,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,276.098,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,269.066,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,269.723,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,269.895,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,272.077,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,272.139,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,275.89,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,273.997,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,273.903,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,274.17,2040.0
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2909.0909090909095,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3657.142857142857,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,243.92567889471175,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,243.8095238095238,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,244.1001191895113,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,252.46548323471401,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,253.96825396825398,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,248.54368932038835,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,232.64796092241278,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,232.56870315693848,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,232.70082945119873,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,240.6015037593985,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,251.96850393700788,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,253.96825396825398,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,249.51267056530213,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,250.24437927663737,2022.857142857143
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,248.90617403986388,2022.857142857143
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2909.0909090909095,1995.5
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3657.142857142857,1995.5
