Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.4,960793693,24816,38716.7,63436.5,10720,954086,33252.0,fused
23.8,404428179,12926,31288.0,11744.0,11231,1296049,95834.5,q8_qdot
6.9,116681559,12408,9403.7,9439.0,7455,573853,6731.7,attention_persist
5.3,90519453,12456,7267.1,7135.0,6848,15231,540.3,rms_norm_q
3.3,56742404,24864,2282.1,2304.0,1919,24350,564.0,rope
1.3,22530859,12432,1812.3,1824.0,1503,2656,168.9,store_2d_pair
1.1,18435123,13224,1394.1,1344.0,1152,425126,3687.5,copy_2d
0.8,12834706,96,133694.9,126855.5,73179,214227,51818.2,q8_qmma
0.3,4965339,384,12930.6,12927.0,12671,13503,120.9,attn_scores
0.3,4361171,384,11357.2,11359.0,11231,11679,70.2,attn_mix
0.2,3100183,384,8073.4,8064.0,7903,8479,124.9,attn_softmax
0.2,2951769,518,5698.4,5599.0,5152,11104,407.3,rms_norm
0.1,1917894,566,3388.5,2496.0,2112,19263,3113.5,quantize
0.1,1163164,710,1638.3,1408.0,1248,3328,448.6,copy
0.0,496322,24,20680.1,20751.0,17663,24222,1080.8,swiglu_2d
0.0,237335,48,4944.5,4928.0,4703,5216,99.1,add_into
0.0,96987,48,2020.6,1983.5,1792,4512,372.3,attn_kt
0.0,67932,48,1415.3,1408.0,1375,1760,64.4,load_2d
