round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,5676.9,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,7487.74,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,7497.96,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,261.38,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,259.515,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,258.932,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,257.074,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,256.932,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,257.21,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,255.384,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,255.184,2041.58940397351
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,255.07,2041.58940397351
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,4413.793103448275,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,4571.428571428572,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,4740.740740740741,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,273.87001872158334,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,272.8483879563016,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,272.3404255319149,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,268.48453067645517,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,268.59016393442624,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,267.18851924331375,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,259.38825913495026,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,259.83252981476784,2023.1493506493507
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,260.06349206349205,2023.1493506493507
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7136.21,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9306.52,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9365.21,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,277.836,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,275.118,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,274.847,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,272.988,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,272.768,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,272.591,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,0,267.206,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,1,267.07,2040.2097902097903
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,2,266.916,2040.2097902097903
