round,slot,engine,backend,model,test,rep,rate,clock
1,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,3047.6190476190473,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,247.1638909003138,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,248.30261881668287,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,247.88186879690147,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,256.5130260521042,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,257.0281124497992,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,256.0,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,236.13513201890925,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,234.4054023120064,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,237.06447505498323,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,244.27480916030532,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,258.06451612903226,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,260.1626016260163,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,253.3399307273627,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,253.8423401090729,2022.8333333333333
1,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,253.3399307273627,2022.8333333333333
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,3047.6190476190473,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3878.7878787878785,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3878.7878787878785,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,247.58220502901352,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,248.78522837706512,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,248.90617403986388,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,256.0,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,258.06451612903226,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,257.54527162977865,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,237.11937015167302,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,237.1742906774754,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,237.20176048181608,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,242.4242424242424,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,260.1626016260163,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,258.06451612903226,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,254.59970164097462,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,253.96825396825398,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,253.8423401090729,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3878.7878787878785,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,248.42309558466764,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,249.08781318414012,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,248.66440019426904,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,258.06451612903226,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,257.0281124497992,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,258.06451612903226,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,237.5318951519369,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,237.78009984906538,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,237.72489843296574,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,250.0,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,260.1626016260163,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,262.2950819672131,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,254.0942928039702,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,254.85316077650575,1979.8314606741574
3,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,254.85316077650575,1979.8314606741574
