round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,257.386,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,254.367,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,254.299,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,253.956,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,254.165,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,254.047,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,251.736,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,251.839,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,251.606,2040.0
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,274.8993288590604,2024.2905405405406
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,277.3564463705309,2024.2905405405406
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,276.60723933009183,2024.2905405405406
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,275.602206970798,2024.2905405405406
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,275.1578664516996,2024.2905405405406
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,276.3086886130599,2024.2905405405406
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,273.3035297257623,2024.2905405405406
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,272.90292491171965,2024.2905405405406
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,272.92110874200426,2024.2905405405406
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,273.62,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,271.294,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,271.461,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,269.172,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,269.065,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,268.573,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,0,263.487,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,1,262.887,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,2,263.043,2040.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,265.353718579943,2029.7727272727273
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,266.3198959687906,2029.7727272727273
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,267.1536655361336,2029.7727272727273
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,262.2279129321383,2029.7727272727273
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,261.825620046024,2029.7727272727273
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,262.96866974833074,2029.7727272727273
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,0,253.46534653465346,2029.7727272727273
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,1,253.82660965483052,2029.7727272727273
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,2,254.34674615002484,2029.7727272727273
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,263.8495233187323,2005.8116883116884
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,267.0143415906128,2005.8116883116884
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,266.3198959687906,2005.8116883116884
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,262.5977689447365,2005.8116883116884
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,262.32867939029074,2005.8116883116884
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,262.5977689447365,2005.8116883116884
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,0,253.48103224209422,2005.8116883116884
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,1,254.1415896258609,2005.8116883116884
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,2,254.47316103379723,2005.8116883116884
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,274.864,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,271.333,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,271.131,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,268.987,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,269.045,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,269.456,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,0,263.273,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,1,263.521,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,2,263.757,2040.0
2,2,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,276.45788336933043,2024.2905405405406
2,2,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,277.1312584573748,2024.2905405405406
2,2,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,278.63945578231295,2024.2905405405406
2,2,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,275.9735884651664,2024.2905405405406
2,2,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,275.04700510341127,2024.2905405405406
2,2,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,275.1578664516996,2024.2905405405406
2,2,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,271.65406552593186,2024.2905405405406
2,2,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,272.5034927815847,2024.2905405405406
2,2,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,273.04846343577094,2024.2905405405406
2,3,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,257.95,2040.0
2,3,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,254.708,2040.0
2,3,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,255.036,2040.0
2,3,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,253.643,2040.0
2,3,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,253.309,2040.0
2,3,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,254.01,2040.0
2,3,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,251.925,2040.0
2,3,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,251.433,2040.0
2,3,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,251.165,2040.0
3,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,256.493,2025.686274509804
3,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,255.485,2025.686274509804
3,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,255.637,2025.686274509804
3,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,254.03,2025.686274509804
3,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,253.359,2025.686274509804
3,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,253.356,2025.686274509804
3,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,251.534,2025.686274509804
3,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,251.537,2025.686274509804
3,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,251.673,2025.686274509804
3,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,272.8483879563016,2021.554054054054
3,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,276.45788336933043,2021.554054054054
3,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,275.8620689655172,2021.554054054054
3,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,275.8249158249158,2021.554054054054
3,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,276.08519816662175,2021.554054054054
3,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,276.2714150816134,2021.554054054054
3,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,272.5760298130033,2021.554054054054
3,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,273.35824879871865,2021.554054054054
3,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,272.6304579339723,2021.554054054054
3,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,274.907,2040.0
3,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,271.707,2040.0
3,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,272.137,2040.0
3,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,269.451,2040.0
3,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,269.074,2040.0
3,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,269.278,2040.0
3,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,0,263.026,2040.0
3,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,1,263.211,2040.0
3,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,2,263.452,2040.0
3,3,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,265.56016597510376,2029.8701298701299
3,3,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,260.0304723209751,2029.8701298701299
3,3,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,266.25065002600104,2029.8701298701299
3,3,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,261.4579343801864,2029.8701298701299
3,3,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,261.52470948793257,2029.8701298701299
3,3,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,262.32867939029074,2029.8701298701299
3,3,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,0,256.24022521113545,2029.8701298701299
3,3,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,1,256.2883243649105,2029.8701298701299
3,3,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,2,255.18659273565513,2029.8701298701299
