round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,274.043,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,271.043,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,270.912,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,268.338,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,268.621,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,268.324,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,0,262.84,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,1,262.31,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,2,262.839,2040.0
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,264.0536358947911,2032.1612903225807
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,265.0789541806886,2032.1612903225807
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,265.62905317769133,2032.1612903225807
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,259.8984771573604,2032.1612903225807
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,261.7921513485875,2032.1612903225807
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,259.96445798426,2032.1612903225807
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,0,252.35660156490664,2032.1612903225807
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,1,252.34105470675212,2032.1612903225807
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,2,249.11811215180634,2032.1612903225807
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,264.1217436161981,2005.5483870967741
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,265.83592938733125,2005.5483870967741
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,265.4224987039917,2005.5483870967741
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,259.7995686921223,2005.5483870967741
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,261.2244897959184,2005.5483870967741
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,257.9669983625142,2005.5483870967741
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,0,253.5594899096199,2005.5483870967741
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,1,254.7422103364637,2005.5483870967741
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,2,255.61657513729403,2005.5483870967741
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,252.347,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,271.277,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,271.013,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,268.028,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,269.476,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,269.265,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,0,263.12,2040.0
