round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,258.627,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,257.893,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,258.396,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,257.386,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,256.818,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,256.753,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,254.479,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,254.906,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,255.018,2040.0
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,284.0499306518724,2024.1891891891892
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,284.60255697609784,2024.1891891891892
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,284.1287458379578,2024.1891891891892
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,282.5217271347772,2024.1891891891892
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,263.40836012861735,2024.1891891891892
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,255.74425574425578,2024.1891891891892
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,278.5068334806555,2024.1891891891892
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,273.5225375626043,2024.1891891891892
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,260.29486527707166,2024.1891891891892
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,275.388,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,275.508,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,275.498,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,267.719,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,272.535,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,273.142,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,0,267.036,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,1,267.171,2040.0
