Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.9,59941168,888,67501.3,67356.0,66524,71644,656.3,fused
18.1,30176534,926,32588.0,12479.0,11648,506946,95947.4,q8_qdot
8.9,14865009,888,16739.9,14367.0,4223,577533,20684.0,attention_split
7.6,12731589,96,132620.7,125640.5,72955,213331,51922.3,q8_qmma
5.5,9095001,888,10242.1,10208.0,9567,13023,221.4,q8_qdot_add
4.9,8215351,936,8777.1,8608.0,8287,15167,738.2,rms_norm_q
3.2,5389066,1824,2954.5,2751.0,2080,18975,1834.2,rope
3.0,4953500,384,12899.7,12895.0,12543,13343,115.9,attn_scores
2.6,4316695,384,11241.4,11231.0,11135,11584,72.0,attn_mix
2.3,3892886,888,4383.9,4448.0,4095,6272,146.8,attention_merge
2.0,3298536,974,3386.6,2944.0,2303,17854,2319.4,quantize
1.8,3057325,384,7961.8,7968.0,7744,8416,125.8,attn_softmax
1.8,2968434,1824,1627.4,1632.0,1248,1919,68.3,store_2d
1.6,2725776,1704,1599.6,1760.0,1183,3584,333.3,copy_2d
0.3,502820,24,20950.8,20750.5,18047,24319,1108.8,swiglu_2d
0.1,247287,38,6507.6,6383.5,6207,10784,715.7,rms_norm
0.1,237045,48,4938.4,4928.0,4767,5088,90.6,add_into
0.1,95771,48,1995.2,2000.0,1792,4064,319.2,attn_kt
0.0,71034,38,1869.3,1888.0,1280,1984,131.8,copy
0.0,68059,48,1417.9,1408.0,1375,1760,70.2,load_2d
