Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2518001468,120664,26,,,,,,,,,,0.786,6517.162,Pageable,Device,NVIDIA GeForce RTX 2080 SUPER (0),1,,7,[CUDA memcpy Host-to-Device]
2518143891,1216,29,,,,,,,,,,0.006,5052.629,Pageable,Device,NVIDIA GeForce RTX 2080 SUPER (0),1,,7,[CUDA memcpy Host-to-Device]
2591659227,15167,35,128,1,1,256,1,1,23,0.019,0.000,,,,,NVIDIA GeForce RTX 2080 SUPER (0),1,,13,rms_norm_q
2593855896,602300,38,,,,,,,,,,3.932,6527.386,Pageable,Device,NVIDIA GeForce RTX 2080 SUPER (0),1,,7,[CUDA memcpy Host-to-Device]
2594506161,75580,40,,,,,,,,,,0.492,6503.301,Pageable,Device,NVIDIA GeForce RTX 2080 SUPER (0),1,,7,[CUDA memcpy Host-to-Device]
2594840829,76124,42,,,,,,,,,,0.492,6456.607,Pageable,Device,NVIDIA GeForce RTX 2080 SUPER (0),1,,7,[CUDA memcpy Host-to-Device]
2595027474,76348,45,1,20,1,128,1,1,238,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 SUPER (0),1,,13,q8_qmma
2617984892,1695,51,128,1,1,256,1,1,16,0.001,0.000,,,,,NVIDIA GeForce RTX 2080 SUPER (0),1,,13,store_2d
2641229716,3520,56,128,1,1,256,1,1,16,0.008,0.000,,,,,NVIDIA GeForce RTX 2080 SUPER (0),1,,13,copy_2d
2658196578,1376,61,128,1,1,256,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 2080 SUPER (0),1,,13,copy_2d
2658996722,41278,63,,,,,,,,,,0.262,6350.438,Pageable,Device,NVIDIA GeForce RTX 2080 SUPER (0),1,,7,[CUDA memcpy Host-to-Device]
2693386419,16319,67,2048,1,1,256,1,1,18,0.001,0.000,,,,,NVIDIA GeForce RTX 2080 SUPER (0),1,,13,rope
2728378032,3680,71,256,1,1,256,1,1,18,0.001,0.000,,,,,NVIDIA GeForce RTX 2080 SUPER (0),1,,13,rope
2728398447,1471,72,128,1,1,256,1,1,16,0.001,0.000,,,,,NVIDIA GeForce RTX 2080 SUPER (0),1,,13,store_2d
2903123117,4064,83,16,1,1,256,1,1,18,0.004,0.000,,,,,NVIDIA GeForce RTX 2080 SUPER (0),1,,13,attn_kt
