round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,6455.13,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,8593.43,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,8294.94,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,196.955,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,256.575,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,256.685,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,264.729,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,266.158,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,265.79,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,242.847,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,250.426,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,250.651,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,262.636,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,265.443,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,267.662,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,257.294,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,257.15,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,257.537,2040.0
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,4000.0,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,247.2235634958957,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,247.82187802516944,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,248.06201550387595,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,258.06451612903226,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,256.5130260521042,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,256.5130260521042,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,236.51691881279592,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,236.68091991216917,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,235.99907812860104,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,253.96825396825398,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,258.06451612903226,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,256.0,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,252.71470878578484,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,253.71655104063433,2022.6404494382023
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,254.22045680238335,2022.6404494382023
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,3047.6190476190473,1977.0
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,1977.0
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,1977.0
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,247.76191628357125,1977.0
