round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,6924.2,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9026.1,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9312.75,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,264.241,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,103.688,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,115.735,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,273.674,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,274.011,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,270.841,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,124.078,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,270.23,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,269.666,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,266.007,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,277.906,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,274.257,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,271.009,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,269.62,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,269.129,2040.0
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3555.5555555555557,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,243.8675875208383,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,243.288191969589,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,243.8095238095238,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,250.0,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,252.96442687747034,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,253.96825396825398,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,232.88605867637023,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,234.2177493138152,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,235.78171770665438,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,240.6015037593985,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,256.0,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,256.0,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,250.36674816625919,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,251.47347740667976,2022.6666666666667
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,251.10348209906815,2022.6666666666667
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,246.15384615384613,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,247.1042471042471,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,246.7469879518072,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,254.9800796812749,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,257.54527162977865,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,256.0,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,235.56475730388772,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,235.91752102292364,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,235.67318757192177,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,250.0,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,260.1626016260163,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,256.0,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,252.71470878578484,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,253.3399307273627,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,252.71470878578484,1979.8314606741574
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7032.85,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9336.18,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9388.91,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,268.349,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,266.74,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,269.523,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,276.728,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,278.913,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,277.96,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,266.125,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,257.185,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,249.509,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,272.759,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,279.399,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,280.403,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,276.765,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,276.755,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,276.891,2040.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,6511.15,2007.828947368421
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,8306.94,2007.828947368421
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,8370.5,2007.828947368421
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,276.438,2007.828947368421
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,274.442,2007.828947368421
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,272.283,2007.828947368421
