round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7240.92,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9288.15,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9338.63,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,273.783,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,275.42,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,274.992,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,0,279.137,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,1,279.349,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg128,2,279.578,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,269.928,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,273.976,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,272.433,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,0,273.221,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,1,280.842,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg32,2,277.445,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,0,277.778,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,1,277.458,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg512,2,277.456,2040.0
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,3047.6190476190473,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,249.08781318414012,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,249.39113492450073,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,250.30554876558298,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,261.2244897959184,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,259.6348884381339,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,260.6924643584521,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,237.94585802253982,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,238.22263580318716,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,238.0288238028824,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,244.27480916030532,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,264.4628099173554,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,262.2950819672131,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,252.34105470675212,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,254.9800796812749,2018.426966292135
1,1,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,255.872063968016,2018.426966292135
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,2976.744186046512,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,3764.705882352941,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,3764.705882352941,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,249.51267056530213,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,250.48923679060664,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,250.06105006105008,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,0,259.1093117408907,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,1,258.5858585858586,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg128,2,260.1626016260163,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,236.1079086926447,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,238.00116211504937,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,237.72489843296574,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,0,258.06451612903226,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,1,264.4628099173554,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg32,2,262.2950819672131,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,0,254.9800796812749,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,1,252.21674876847294,1979.8314606741574
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg512,2,256.0,1979.8314606741574
