round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,5398.61,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,4290.92,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,7391.32,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,203.909,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,203.582,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,201.239,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,196.282,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,193.848,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,201.794,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,198.118,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,198.444,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,197.425,2040.0
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,3878.7878787878785,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,2844.4444444444443,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,3878.7878787878785,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,223.82513661202185,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,230.2158273381295,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,227.55555555555554,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,221.6690117978136,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,223.45881069285326,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,228.26571555951853,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,221.47723586027902,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,223.15445382729501,2026.4088397790056
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,223.3491466274061,2026.4088397790056
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,4308.73,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,8767.06,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,6262.81,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,230.045,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,259.801,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,255.943,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,260.348,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,252.833,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,243.75,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,0,257.744,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,1,239.082,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,2,264.096,2040.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5120.0,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,5565.217391304348,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,5818.181818181819,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,269.9709992090693,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,273.57734437616887,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,274.0899357601713,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,272.2318224112721,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,272.8120420940456,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,272.55789193505456,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,0,262.3118796029459,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,1,263.0869034620078,2027.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,2,262.88428213850204,2027.0
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5333.333333333333,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,5565.217391304348,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,5818.181818181819,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,267.50261233019853,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,1,269.0488702049396,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,2,269.2611096502761,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,0,269.7221124720137,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,1,269.8998418555614,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg2048,2,270.1134265365339,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,0,262.6988199076449,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,1,262.47997436719,2002.2
2,0,phobos,CUDA,minicpm5-1b-Q8_0,tg4096,2,263.289837372244,2002.2
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,6931.77,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9294.09,2040.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9320.68,2040.0
