Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.6,7898470,165,47869.5,41373.0,13280,80187,25058.8,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, const float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
15.7,2014924,165,12211.7,11327.0,8543,17503,3002.1,"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
4.1,532321,24,22180.0,22142.5,21727,23134,287.4,"void flash_attn_ext_f16<(int)128, (int)128, (int)4, (int)8, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long long, int, int, long long, int, int, int, int, int, long long)"
3.9,499679,165,3028.4,2368.0,1824,5248,1238.4,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0, (bool)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int, int)"
3.8,482307,1,482307.0,482307.0,482307,482307,0.0,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
2.8,352873,23,15342.3,15327.0,15135,15647,143.4,"void unary_gated_op_kernel<&op_silu, float>(const T2 *, const T2 *, T2 *, long long, long long, long long, long long)"
2.5,319659,49,6523.7,6592.0,2816,9695,854.7,"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long long, long long, long long, float, const float *, long long, long long, long long, uint3, uint3, uint3, uint3, const float *, long long, long long, long long, uint3, uint3, uint3, uint3)"
1.6,208500,24,8687.5,8543.0,8447,12319,775.3,"void flash_attn_stream_k_fixup_general<(int)128, (int)4, (int)8>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
1.4,179891,47,3827.5,3871.0,1280,4128,400.5,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
1.4,175156,24,7298.2,7295.0,7071,7552,144.8,"void rope_norm<(bool)1, (bool)0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long long *, int)"
0.5,61628,2,30814.0,30814.0,18526,43102,17377.9,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.4,56223,24,2342.6,2336.0,2303,2432,31.3,"void rope_norm<(bool)1, (bool)0, float, __half>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long long *, int)"
0.3,37627,24,1567.8,1504.0,1440,1696,91.9,"void k_set_rows<float, long long, __half>(const T1 *, const T2 *, T3 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, uint3, uint3, uint3, uint3, uint3)"
0.0,4639,2,2319.5,2319.5,1440,3199,1243.8,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long long, long long, uint3, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long)"
0.0,4000,3,1333.3,1248.0,1184,1568,205.7,"quantize_q8_1(const float *, void *, long long, long long, long long, long long, long long, unsigned int, uint3)"
