Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.7,12869113,96,134053.3,126936.5,72924,218707,52159.3,q8_qmma
15.0,4980118,384,12969.1,12959.0,12671,14367,163.8,attn_scores
13.2,4371542,384,11384.2,11360.0,11200,12543,114.9,attn_mix
9.3,3098820,384,8069.8,8064.0,7839,8447,117.9,attn_softmax
5.7,1902033,48,39625.7,41149.5,11647,74972,27903.3,fused
3.8,1277297,26,49126.8,11951.0,11743,498722,130859.4,q8_qdot
3.6,1190833,840,1417.7,1312.0,1183,3808,423.2,copy_2d
2.3,780217,72,10836.3,11839.0,8383,15167,1747.5,rms_norm_q
2.0,658965,96,6864.2,2991.5,2080,23806,7222.8,rope
1.9,619226,50,12384.5,10239.5,2336,20606,4868.7,quantize
1.5,507937,24,21164.0,20991.0,20318,25055,916.8,swiglu_2d
0.8,252244,24,10510.2,10527.0,10335,10591,53.4,attention_persist
0.7,238708,48,4973.1,4975.5,4832,5184,74.9,add_into
0.5,153751,4,38437.8,38430.0,38429,38462,16.2,argmax_finish
0.3,97144,48,2023.8,2015.0,1823,4096,317.4,attn_kt
0.3,90747,48,1890.6,1760.0,1600,4032,404.1,store_2d_pair
0.2,69980,48,1457.9,1408.0,1375,3200,267.3,load_2d
0.1,36829,4,9207.3,8783.0,8704,10559,902.0,argmax_reduce
0.1,17824,2,8912.0,8912.0,6272,11552,3733.5,rms_norm
0.0,2656,2,1328.0,1328.0,1312,1344,22.6,copy
