round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,5780.11,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,7485.77,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,7539.52,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp512,0,10098.5,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp512,1,11008.7,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp512,2,11176.2,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,261.611,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,261.395,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,260.966,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,260.354,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,260.143,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,260.373,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,258.105,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,258.029,2040.3020134228188
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,258.284,2040.3020134228188
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,5333.333333333333,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,5818.181818181819,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,5565.217391304348,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp512,0,7211.267605633803,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp512,1,7529.411764705882,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp512,2,7529.411764705882,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,301.1764705882353,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,301.2650779641071,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,301.0879153190238,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,300.6459189665296,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,299.50277859023106,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,299.8535871156662,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,296.94069885457446,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,297.177682652543,2029.0217391304348
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,296.5966690803765,2029.0217391304348
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7343.49,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9379.49,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9458.92,2040.0
