round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7263.81,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,8867.7,2040.0
1,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,8803.6,2040.0
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5333.333333333333,1796.25
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,6095.2380952380945,1796.25
1,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,6095.2380952380945,1796.25
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5120.0,1336.875
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,5818.181818181819,1336.875
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,5818.181818181819,1336.875
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,6688.89,1510.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,8038.64,1510.0
2,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,8262.81,1510.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,6703.08,1235.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,7947.5,1235.0
3,0,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,7751.47,1235.0
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5120.0,1661.25
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,5818.181818181819,1661.25
3,1,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,6095.2380952380945,1661.25
4,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5565.217391304348,1331.25
4,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,6095.2380952380945,1331.25
4,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,5818.181818181819,1331.25
4,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,6617.35,1680.0
4,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,8575.35,1680.0
4,1,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,8648.06,1680.0
