round,slot,engine,backend,model,test,rep,rate,clock
1,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5333.333333333333,1781.6666666666667
1,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,5333.333333333333,1781.6666666666667
1,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,5565.217391304348,1781.6666666666667
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5120.0,1336.875
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,5818.181818181819,1336.875
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,5333.333333333333,1336.875
3,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5120.0,1338.75
3,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,5818.181818181819,1338.75
3,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,6095.2380952380945,1338.75
4,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5120.0,1338.75
4,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,5818.181818181819,1338.75
4,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,5818.181818181819,1338.75
