round,slot,engine,backend,model,test,rep,rate,clock
1,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,5333.333333333333,1631.25
1,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,5818.181818181819,1631.25
1,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,5818.181818181819,1631.25
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,4129.032258064516,1323.75
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,4571.428571428572,1323.75
2,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,4740.740740740741,1323.75
3,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,4571.428571428572,1448.4375
3,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,4571.428571428572,1448.4375
3,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,4413.793103448275,1448.4375
4,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,0,4129.032258064516,1431.5625
4,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,1,4266.666666666667,1431.5625
4,0,phobos,CUDA,minicpm5-1b-Q8_0,pp128,2,4923.076923076923,1431.5625
