round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,5632.76,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,7413.07,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,7402.01,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,258.388,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,254.862,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,257.386,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,257.159,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,256.791,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,256.563,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,254.586,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,254.865,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,254.768,2040.0
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,0,4266.666666666667,2024.0753424657535
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,1,4740.740740740741,2024.0753424657535
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,pp128,2,4571.428571428572,2024.0753424657535
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,280.2408319649699,2024.0753424657535
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,274.0899357601713,2024.0753424657535
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,281.3959879087662,2024.0753424657535
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,280.27918434377995,2024.0753424657535
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,278.2608695652174,2024.0753424657535
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,279.9726589200273,2024.0753424657535
