round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,245.835,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,244.049,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,243.176,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,244.943,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,224.267,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,234.167,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,223.15,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,246.739,2040.0
1,0,llama.cpp CUDA,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,241.875,2040.0
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,0,245.79932789246277,2021.392405063291
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,1,262.5641025641026,2021.392405063291
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg1024,2,265.0103519668737,2021.392405063291
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,0,250.85742283194514,2021.392405063291
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,1,261.19117459507714,2021.392405063291
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg2048,2,257.6748867639658,2021.392405063291
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,0,245.8731016267483,2021.392405063291
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,1,258.1783800819414,2021.392405063291
1,1,phobos,CUDA,Qwen3.5-0.8B-Q8_0,tg4096,2,272.26801382611006,2021.392405063291
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,0,277.043,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,1,277.887,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg1024,2,277.941,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,0,274.836,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,1,274.642,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg2048,2,274.614,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,0,268.794,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,1,268.726,2040.0
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,tg4096,2,266.451,2040.0
1,3,phobos,CUDA,minicpm5-1b-Q8_0,tg1024,0,275.71351642434036,2026.9127516778524
