round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp-prism CUDA,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,pp128,0,300.55,1904.1666666666667
1,0,llama.cpp-prism CUDA,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,tg128,0,29.3503,1904.1666666666667
1,1,phobos,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,pp128,0,603.7735849056604,606.5044247787611
1,1,phobos,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,tg128,0,46.09290601368383,606.5044247787611
2,0,phobos,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,pp128,0,554.1125541125541,561.578947368421
2,0,phobos,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,tg128,0,46.142754145638065,561.578947368421
2,1,llama.cpp-prism CUDA,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,pp128,0,302.938,2001.6666666666667
2,1,llama.cpp-prism CUDA,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,tg128,0,29.3826,2001.6666666666667
3,0,llama.cpp-prism CUDA,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,pp128,0,302.852,1905.0
3,0,llama.cpp-prism CUDA,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,tg128,0,29.3538,1905.0
3,1,phobos,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,pp128,0,592.5925925925926,608.0263157894736
3,1,phobos,CUDA,Ternary-Bonsai-2-27B-PTQ1_0,tg128,0,46.10951008645534,608.0263157894736
