round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.8-27B-UD-IQ1_M,pp128,0,225.186,2011.3636363636363
1,0,llama.cpp CUDA,CUDA,Qwen3.8-27B-UD-IQ1_M,tg128,0,21.7315,2011.3636363636363
1,1,phobos,CUDA,Qwen3.8-27B-UD-IQ1_M,pp128,0,518.2186234817814,1643.888888888889
1,1,phobos,CUDA,Qwen3.8-27B-UD-IQ1_M,tg128,0,29.51348858658059,1643.888888888889
2,0,phobos,CUDA,Qwen3.8-27B-UD-IQ1_M,pp128,0,245.6813819577735,1560.0
2,0,phobos,CUDA,Qwen3.8-27B-UD-IQ1_M,tg128,0,29.55437543292542,1560.0
2,1,llama.cpp CUDA,CUDA,Qwen3.8-27B-UD-IQ1_M,pp128,0,466.953,2005.5
2,1,llama.cpp CUDA,CUDA,Qwen3.8-27B-UD-IQ1_M,tg128,0,21.7445,2005.5
3,0,llama.cpp CUDA,CUDA,Qwen3.8-27B-UD-IQ1_M,pp128,0,472.951,1928.5714285714287
3,0,llama.cpp CUDA,CUDA,Qwen3.8-27B-UD-IQ1_M,tg128,0,21.743,1928.5714285714287
3,1,phobos,CUDA,Qwen3.8-27B-UD-IQ1_M,pp128,0,398.7538940809969,1645.5555555555557
3,1,phobos,CUDA,Qwen3.8-27B-UD-IQ1_M,tg128,0,29.595375722543352,1645.5555555555557
