round,slot,engine,backend,model,test,rep,rate,clock
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,pp128,0,2127.8,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,pp128,1,2428.86,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,pp128,2,2434.14,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,pp512,0,2903.12,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,pp512,1,3004.77,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,pp512,2,2994.78,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg1024,0,110.51,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg1024,1,110.434,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg1024,2,110.491,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg128,0,110.092,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg128,1,110.214,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg128,2,110.204,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg2048,0,109.92,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg2048,1,109.963,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg2048,2,109.968,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg32,0,106.656,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg32,1,107.041,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg32,2,107.145,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg512,0,110.606,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg512,1,110.617,2040.4010695187167
1,0,llama.cpp CUDA,CUDA,Qwen3.5-4B-Q4_K_M,tg512,2,110.592,2040.4010695187167
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,pp128,0,2327.2727272727275,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,pp128,1,2327.2727272727275,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,pp128,2,2370.3703703703704,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,pp512,0,2497.560975609756,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,pp512,1,2381.3953488372094,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,pp512,2,2370.3703703703704,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg1024,0,111.0990560920039,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg1024,1,111.17142546954727,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg1024,2,111.06290672451192,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg128,0,111.20764552562989,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg128,1,111.30434782608697,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg128,2,111.20764552562989,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg2048,0,110.74460606716056,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg2048,1,110.72065740390333,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg2048,2,110.75059485182781,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg32,0,111.11111111111111,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg32,1,111.8881118881119,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg32,2,111.49825783972126,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg512,0,111.23180534434066,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg512,1,111.20764552562989,2031.904761904762
1,1,phobos,CUDA,Qwen3.5-4B-Q4_K_M,tg512,2,111.28015648772006,2031.904761904762
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,0,7269.09,2040.8108108108108
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,1,9400.77,2040.8108108108108
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp128,2,9468.86,2040.8108108108108
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp512,0,15180.9,2040.8108108108108
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp512,1,16855.5,2040.8108108108108
1,2,llama.cpp CUDA,CUDA,minicpm5-1b-Q8_0,pp512,2,16832.6,2040.8108108108108
