benchmark,impl,precision,gflops,peak_gflops,pct_of_peak
saxpy_fp32,phobos,f32,70.6,11427.8,0.6
saxpy_fp32,cuBLAS,f32,71.9,11427.8,0.6
gemm_fp32,phobos,f32,8287.4,11427.8,72.5
gemm_fp32,cuBLAS,f32,10946.1,11427.8,95.8
gemm_fp16tc_fp32acc,phobos,f16-tc-f32-acc,21437.6,45711.4,46.9
gemm_fp16tc_fp32acc,cuBLAS,f32,10946.8,11427.8,95.8
gemm_fp16,phobos,f16-tc,46205.2,91422.7,50.5
gemm_fp16,cuBLAS,f16-tc,78925.0,91422.7,86.3
flash_fp32,phobos,f32,5571.4,11427.8,48.8
flash_fp16,phobos,f16-tc-f32-acc,6221.9,45711.4,13.6
